City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,75.24,clear sky,-23.12,-134.97,Rikitea
7,Camalu,MX,82.99,scattered clouds,30.85,-116.07,Camalú
12,Salalah,OM,77.0,clear sky,17.02,54.09,Salalah
21,Alofi,NU,75.2,light rain,-19.06,-169.92,Alofi
23,Bengkulu,ID,75.67,overcast clouds,-3.8,102.27,Bengkulu
24,Puerto Ayacucho,VE,87.78,heavy intensity rain,5.66,-67.62,Puerto Ayacucho
26,Kavieng,PG,82.99,light rain,-2.57,150.8,Kaewieng
28,Davila,PH,77.0,broken clouds,18.47,120.58,Pasuquin
29,Teahupoo,PF,84.2,few clouds,-17.83,-149.27,Teahupo'o
31,Butaritari,KI,81.25,overcast clouds,3.07,172.79,Isles Sunset Lodge
35,Hithadhoo,MV,83.57,light rain,-0.6,73.08,Addu City
40,Beira,MZ,77.0,few clouds,-19.84,34.84,Beira
42,Taoudenni,ML,81.77,overcast clouds,22.68,-3.98,Taoudenni
55,Ahuimanu,US,81.0,few clouds,21.44,-157.84,Honolulu
62,Kapaa,US,81.0,clear sky,22.08,-159.32,Kapaʻa
63,Katherine,AU,82.4,clear sky,-14.47,132.27,Katherine
66,Atuona,PF,78.55,few clouds,-9.8,-139.03,Atuona
68,Marrakesh,MA,78.8,clear sky,31.63,-8.01,Marrakesh
73,Garissa,KE,79.2,clear sky,-0.45,39.64,Garissa
76,Portobelo,PA,84.99,overcast clouds,9.55,-79.65,Portobelo
78,Soyo,AO,78.15,overcast clouds,-6.13,12.37,Soyo
81,Buala,SB,81.37,broken clouds,-8.14,159.59,Buala
94,Bahia Blanca,AR,80.28,clear sky,-38.72,-62.27,Bahía Blanca
95,Nishihara,JP,75.2,shower rain,26.18,127.76,Naha
96,Kulhudhuffushi,MV,82.72,broken clouds,6.62,73.07,Kulhudhuffushi
101,Moron,AR,75.0,clear sky,-34.65,-58.62,Morón
103,Georgetown,MY,75.2,few clouds,5.41,100.34,George Town
104,Patrocinio,BR,78.8,overcast clouds,-18.94,-46.99,Patrocínio
105,Meulaboh,ID,77.81,overcast clouds,4.14,96.13,Meulaboh
108,Gurupi,BR,82.81,heavy intensity rain,-11.73,-49.07,Gurupi
109,Coachella,US,88.0,clear sky,33.68,-116.17,Indio
115,Adeje,ES,86.0,clear sky,28.12,-16.73,Costa Adeje
118,Puerto Suarez,BO,86.0,few clouds,-18.95,-57.8,Puerto Suárez
121,Abonnema,NG,77.0,few clouds,4.71,6.79,Degema
128,Hervey Bay,AU,75.99,clear sky,-25.3,152.85,Hervey Bay
131,Lampa,CL,88.0,clear sky,-33.28,-70.9,Lampa
132,Yarada,IN,77.0,mist,17.65,83.27,Visakhapatnam
133,Dakar,SN,78.8,clear sky,14.69,-17.44,Dakar
135,Kavaratti,IN,82.36,clear sky,10.57,72.64,Kavaratti
