City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Hermanus,ZA,-34.42,19.23,57.0,74,0,4.0,clear sky,2020-10-31 19:36:51
1,Rikitea,PF,-23.12,-134.97,75.24,69,0,6.87,clear sky,2020-10-31 19:36:51
2,Longyearbyen,SJ,78.22,15.64,24.8,62,75,11.41,broken clouds,2020-10-31 19:36:52
3,Susanville,US,40.42,-120.65,60.8,19,1,3.36,clear sky,2020-10-31 19:33:59
4,Pokaran,IN,26.92,71.92,72.48,20,0,2.91,very heavy rain,2020-10-31 19:36:52
5,Port Elizabeth,ZA,-33.92,25.57,64.4,77,90,4.7,overcast clouds,2020-10-31 19:36:52
6,Cape Town,ZA,-33.93,18.42,63.0,59,0,20.8,clear sky,2020-10-31 19:33:17
7,Camalu,MX,30.85,-116.07,82.99,10,44,4.0,scattered clouds,2020-10-31 19:36:52
8,Tura,IN,25.52,90.22,71.71,96,100,0.13,overcast clouds,2020-10-31 19:36:52
9,Bowen,AU,-20.02,148.23,66.2,93,0,3.36,clear sky,2020-10-31 19:36:52
10,Mar Del Plata,AR,-38.0,-57.56,66.2,55,0,13.87,clear sky,2020-10-31 19:36:52
11,Evensk,RU,61.95,159.23,22.17,93,50,11.92,scattered clouds,2020-10-31 19:36:52
12,Salalah,OM,17.02,54.09,77.0,33,0,3.36,clear sky,2020-10-31 19:32:47
13,Ushuaia,AR,-54.8,-68.3,55.4,58,90,4.7,light intensity drizzle,2020-10-31 19:33:41
14,Makarska,HR,43.3,17.02,59.0,82,0,3.36,clear sky,2020-10-31 19:36:52
15,Nantucket,US,41.28,-70.1,48.2,45,20,10.29,few clouds,2020-10-31 19:36:52
16,Wanning,CN,18.8,110.4,71.62,87,20,8.63,few clouds,2020-10-31 19:33:43
17,Nikolskoye,RU,59.7,30.79,39.0,84,77,3.85,fog,2020-10-31 19:33:56
18,Richards Bay,ZA,-28.78,32.04,65.79,86,100,5.75,light rain,2020-10-31 19:33:07
19,Kenai,US,60.55,-151.26,14.0,72,1,3.36,clear sky,2020-10-31 19:36:52
20,Asfi,MA,32.3,-9.24,68.25,76,0,12.93,clear sky,2020-10-31 19:36:52
21,Alofi,NU,-19.06,-169.92,75.2,94,78,13.87,light rain,2020-10-31 19:36:52
22,Busselton,AU,-33.65,115.33,60.01,77,100,5.37,overcast clouds,2020-10-31 19:36:52
23,Bengkulu,ID,-3.8,102.27,75.67,88,100,4.21,overcast clouds,2020-10-31 19:36:53
24,Puerto Ayacucho,VE,5.66,-67.62,87.78,66,95,3.47,heavy intensity rain,2020-10-31 19:36:53
25,Champua,IN,22.08,85.67,70.05,75,0,5.53,clear sky,2020-10-31 19:36:53
26,Kavieng,PG,-2.57,150.8,82.99,76,35,10.56,light rain,2020-10-31 19:36:53
27,East London,ZA,-33.02,27.91,64.4,72,20,5.82,few clouds,2020-10-31 19:33:52
28,Davila,PH,18.47,120.58,77.0,65,75,9.17,broken clouds,2020-10-31 19:36:53
29,Teahupoo,PF,-17.83,-149.27,84.2,62,20,6.93,few clouds,2020-10-31 19:36:53
30,Tiksi,RU,71.69,128.87,3.02,93,96,4.68,overcast clouds,2020-10-31 19:36:53
31,Butaritari,KI,3.07,172.79,81.25,75,100,15.48,overcast clouds,2020-10-31 19:36:53
32,Camana,PE,-16.62,-72.71,67.77,69,72,7.36,broken clouds,2020-10-31 19:36:53
33,Qaanaaq,GL,77.48,-69.36,9.9,83,95,6.82,overcast clouds,2020-10-31 19:36:53
34,Provideniya,RU,64.38,-173.3,21.04,88,84,6.55,broken clouds,2020-10-31 19:36:53
35,Hithadhoo,MV,-0.6,73.08,83.57,70,100,8.48,light rain,2020-10-31 19:36:53
36,Yellowknife,CA,62.46,-114.35,21.2,85,90,16.11,light snow,2020-10-31 19:33:53
37,Port Alfred,ZA,-33.59,26.89,64.15,79,69,14.85,broken clouds,2020-10-31 19:36:53
38,Pipri,IN,19.8,75.53,71.6,68,40,5.39,haze,2020-10-31 19:36:53
39,Tuktoyaktuk,CA,69.45,-133.04,-4.0,83,40,5.82,scattered clouds,2020-10-31 19:36:53
40,Beira,MZ,-19.84,34.84,77.0,83,20,8.05,few clouds,2020-10-31 19:36:54
41,Nanortalik,GL,60.14,-45.24,28.6,90,72,19.77,broken clouds,2020-10-31 19:34:29
42,Taoudenni,ML,22.68,-3.98,81.77,16,100,10.65,overcast clouds,2020-10-31 19:36:54
43,Cairns,AU,-16.92,145.77,70.0,94,0,3.58,clear sky,2020-10-31 19:36:54
44,Zhuanghe,CN,39.7,122.99,53.01,87,99,9.84,overcast clouds,2020-10-31 19:36:54
45,Bluff,NZ,-46.6,168.33,53.01,72,94,4.0,overcast clouds,2020-10-31 19:36:54
46,Walvis Bay,NA,-22.96,14.51,59.0,72,0,4.7,clear sky,2020-10-31 19:36:54
47,Castro,BR,-24.79,-50.01,59.0,80,95,9.01,overcast clouds,2020-10-31 19:32:22
48,Katsuura,JP,35.13,140.3,51.8,76,0,8.05,clear sky,2020-10-31 19:36:54
49,Bredasdorp,ZA,-34.53,20.04,57.2,71,0,5.82,clear sky,2020-10-31 19:36:54
50,Hay River,CA,60.82,-115.8,24.8,79,0,9.17,clear sky,2020-10-31 19:36:54
51,High Level,CA,58.52,-117.14,24.8,85,40,6.93,scattered clouds,2020-10-31 19:36:54
