City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vao,NC,2020-10-29 06:52:40,-22.67,167.48,73.06,79,0,15.52
1,Puerto Maldonado,PE,2020-10-29 06:52:40,-12.6,-69.18,75.36,93,100,1.81
2,Lillesand,NO,2020-10-29 06:52:40,58.25,8.38,37.4,93,90,4.7
3,Kontagora,NG,2020-10-29 06:52:40,10.4,5.47,75.15,41,0,4.05
4,Vaini,TO,2020-10-29 06:52:40,-21.2,-175.2,71.6,73,75,9.17
5,Sandwick,GB,2020-10-29 06:52:40,60.0,-1.25,48.2,87,0,11.41
6,Kaitangata,NZ,2020-10-29 06:52:40,-46.28,169.85,53.01,89,15,17.0
7,Sirjan,IR,2020-10-29 06:49:14,29.45,55.68,68.31,20,0,7.36
8,Hithadhoo,MV,2020-10-29 06:52:40,-0.6,73.08,83.5,74,1,11.72
9,Barrow,US,2020-10-29 06:50:02,71.29,-156.79,15.8,85,90,11.41
10,Arraial Do Cabo,BR,2020-10-29 06:52:40,-22.97,-42.03,73.4,100,0,2.24
11,Hwange,ZW,2020-10-29 06:52:40,-18.37,26.5,88.12,28,0,13.27
12,Saint-Joseph,RE,2020-10-29 06:52:40,-21.37,55.62,77.0,78,90,28.86
13,Butaritari,KI,2020-10-29 06:52:40,3.07,172.79,81.77,74,100,6.42
14,Kapaa,US,2020-10-29 06:52:40,22.08,-159.32,71.6,94,75,5.82
15,Kruisfontein,ZA,2020-10-29 06:52:40,-34.0,24.73,64.99,87,100,1.01
16,Albany,US,2020-10-29 06:48:16,42.6,-73.97,45.0,90,100,2.91
17,New Norfolk,AU,2020-10-29 06:52:40,-42.78,147.06,60.8,48,75,11.41
18,Port Alfred,ZA,2020-10-29 06:52:40,-33.59,26.89,69.58,76,100,8.08
19,Bambous Virieux,MU,2020-10-29 06:52:40,-20.34,57.76,80.01,56,60,10.0
